CITY;STATE;populacao;unidades_domesticas_percapita;idosos_percapita;GDP_CAPITA;TV_assinatura/por_residencia;empresa/percapita;carros_percapita;motos/percapita;IDH
Bom Repouso;MG;10457;0,311561633;0,056995314;127450000;0,111418048;0,015504596;0,29421595;0,182155789;6530
Bom Sucesso;MG;17243;0,313576524;0,125906165;175430000;0,035139634;0,024045183;0,25348096;0,074651904;6920
Bonfim;MG;6818;0,358902904;0,084628923;125530000;0,281160605;0,020376176;0,240096894;0,236249644;6370
Bonfinópolis De Minas;MG;5865;0,317647059;0,085421995;360260000;0,09178744;0,023115405;0,195618423;0,124029671;6780
Bonito De Minas;MG;9673;0,235914401;0,022226817;68770000;0,058282209;0,008057794;0,026488839;0,065481152;5370
Borda Da Mata;MG;17118;0,321591307;0,113155742;160640000;0,144777475;0,027022731;0,299634398;0,113760398;7300
Botelhos;MG;14920;0,33116622;0,115214477;157130000;0,169803683;0,022188866;0,351889317;0,10513607;7020
Botumirim;MG;6497;0,268277667;0,046636909;69980000;0,060814687;0,01235321;0,049260332;0,086929998;6020
Brasilândia De Minas;MG;14226;0,286095881;0,063405033;125560000;0,036117936;0,016707493;0,18089316;0,134099617;6740
Brasília De Minas;MG;31213;0,272867075;0,073879473;92950000;0,083127862;0,016171516;0,135467075;0,158499234;6560
Brazópolis;MG;14661;0,319418866;0,08614692;116410000;0,135810378;0,015626048;0,26866072;0,1191067;6920
Braúnas;MG;5030;0,284095427;0,047117296;227060000;0,056682995;0,008757962;0,10808121;0,130573248;6240
Brumadinho;MG;33973;0,310893945;0,09174933;401000000;0,562488165;0,019727413;0,276261955;0,107627759;7470
Brás Pires;MG;4637;0,315721372;0,078067716;79350000;0,078551913;0,016604763;0,186803583;0,197290802;6250
Bueno Brandão;MG;10892;0,333088505;0,079048843;129620000;0,10584344;0,016387602;0,360171001;0,16752761;6580
Buenópolis;MG;10292;0,297415468;0,092013214;106460000;0,189807253;0,014539275;0,157477341;0,107911631;6690
Bugre;MG;3992;0,310871743;0,055360721;80180000;0,034649476;0,007971014;0,13647343;0,107729469;6270
Buritis;MG;22737;0,303821964;0,061573646;272680000;0,095541401;0,014720274;0,153726961;0,106752569;6720
Buritizeiro;MG;26922;0,277579675;0,072877201;152930000;0,124046568;0,016070228;0,109589041;0,136313759;6240
Cabeceira Grande;MG;6453;0,330853866;0,078413141;269720000;0,049180328;0,007969859;0,071294015;0,041008549;6480
Cabo Verde;MG;13823;0,303696737;0,074079433;159950000;0,130061934;0,017325695;0,251502026;0,065809697;6740
Cachoeira Da Prata;MG;3654;0,305418719;0,158456486;100710000;0,464157706;0,023681378;0,241119483;0,074273412;7410
Cachoeira De Minas;MG;11034;0,311401124;0,085191227;285010000;0,167054715;0,021624882;0,227276643;0,100370466;7060
Cachoeira De Pajeú;MG;8959;0,285634557;0,063288313;93220000;0,064087534;0,007623081;0,090524087;0,068713605;5780
Cachoeira Dourada;MG;2505;0,311377246;0,110978044;247840000;0,055128205;0,011958146;0,179372197;0,113602392;7260
Caetanópolis;MG;10218;0,312292034;0,102172637;194260000;0,378251332;0,018339683;0,220164791;0,117923275;7060
Caeté;MG;40750;0,29003681;0,107730061;137870000;0,277180811;0,017995734;0,26435347;0,10536468;7280
Caiana;MG;4968;0,317230274;0,076086957;109670000;0,06535533;0,017784365;0,158947758;0,155798444;6330
Cajuri;MG;4047;0,296268841;0,084012849;155460000;0,160967473;0,011910549;0,157024793;0,192756441;6170
Caldas;MG;13633;0,347172303;0,1002714;156600000;0,181914219;0,021225111;0,3046875;0,07860896;6870
Camacho;MG;3154;0,31357007;0,068167406;153880000;0,053589484;0,01036941;0,220674012;0,185029164;6900
Camanducaia;MG;21080;0,328178368;0,078937381;239870000;0,346921075;0,038033353;0,30708411;0,174399055;6890
Cambuquira;MG;12602;0,31883828;0,127598794;225120000;0,150572424;0,020322086;0,281441718;0,103067485;6990
Cambuí;MG;26488;0,340909091;0,115788281;345940000;0,138538206;0,0290762;0,34977873;0,156479049;7510
Campanha;MG;15433;0,306874879;0,111514288;195240000;0,211359797;0,027280426;0,279881442;0,133680135;7090
Campanário;MG;3564;0,291526375;0,100448934;106450000;0,092396535;0,014686248;0,115353805;0,09105474;6160
Campestre;MG;20686;0,322923717;0,079570724;158800000;0,18008982;0,022972405;0,339309894;0,19591913;6980
Campina Verde;MG;19324;0,347236597;0,121041192;271030000;0,080178838;0,017853581;0,234440455;0,115150608;7040
Campo Azul;MG;3684;0,278501629;0,054831705;87440000;0,052631579;0,008045679;0,060212821;0,091097846;6210
Campo Belo;MG;51544;0,333171659;0,134234828;172460000;0,118325278;0,030162883;0,326079746;0,137197818;7110
Campo Do Meio;MG;11476;0,313436738;0,106570234;129770000;0,144842925;0,016937726;0,224656611;0,110053088;6830
Campo Florido;MG;6870;0,318195051;0,066521106;516070000;0,162397072;0,019658229;0,244121804;0,077733522;7060
Campos Altos;MG;14206;0,304730396;0,092988878;227860000;0,114345114;0,024004186;0,283144745;0,055726339;7020
Campos Gerais;MG;27600;0,310326087;0,083043478;167030000;0,144775248;0,019330342;0,228788402;0,09302727;6820
Cana Verde;MG;5589;0,326176418;0,107711576;118420000;0,089413055;0,012203626;0,235355649;0,142433752;6500
Canaã;MG;4628;0,314174589;0,061581677;121030000;0,154057772;0,01721207;0,172758181;0,302379941;6490
Candeias;MG;14595;0,34251456;0,103665639;202540000;0,065013003;0,026507139;0,252445796;0,164925965;6780
Cantagalo;MG;4195;0,283671037;0,068653159;104940000;0,107563025;0,014696059;0,129369851;0,151636607;6310
Canápolis;MG;11365;0,325384954;0,100131984;272760000;0,070578691;0,015586138;0,191676339;0,094428785;7220
Caparaó;MG;5209;0,305432905;0,040698791;169150000;0,160905091;0,021929825;0,192799708;0,203399123;6240
Capela Nova;MG;4755;0,304731861;0,074237645;97050000;0,101449275;0,011214953;0,208099688;0,198753894;6480
Capelinha;MG;34803;0,282906646;0,054305663;144540000;0,063985375;0,023639845;0,214167952;0,2306015;6530
Capetinga;MG;7089;0,317252081;0,13133023;172980000;0,128056914;0,034319196;0,26688058;0,049107143;6750
Capim Branco;MG;8881;0,298277221;0,106294336;82860000;0,322385806;0,020917889;0,232802581;0,096680196;6950
Capinópolis;MG;15290;0,326095487;0,123675605;211330000;0,081026875;0,021256874;0,218500896;0,138231477;7230
Capitão Andrade;MG;4925;0,320609137;0,098883249;83010000;0,050031666;0,011749347;0,119731443;0,179783663;6240
Capitão Enéas;MG;14206;0,258904688;0,06757708;164080000;0,095976074;0,010094346;0,084383453;0,103450551;6390
Capitólio;MG;8183;0,334840523;0,082854699;233170000;0,248540146;0,037580944;0,380203515;0,183626272;7100
Caputira;MG;9030;0,293355482;0,059025471;89740000;0,121177803;0,011262218;0,235231619;0,213769656;6150
Caranaíba;MG;3288;0,276459854;0,048965937;97880000;0,094609461;0,007252947;0,174372922;0,095497129;6340
Carandaí;MG;23346;0,293754819;0,090165339;223220000;0,135170604;0,019433648;0,308995003;0,104703736;6970
Carangola;MG;32296;0,338927421;0,124752291;151140000;0,140325233;0,028168174;0,221317101;0,144302211;6950
Caratinga;MG;85239;0,313002264;0,096868804;167060000;0,365554723;0,028245495;0,224825382;0,156576383;7060
Caraí;MG;22343;0,262766862;0,049053395;63340000;0,041219554;0,005659023;0,040204401;0,083871785;5580
Carbonita;MG;9148;0,326191517;0,076519458;100070000;0,220174263;0,017530968;0,186122192;0,211106446;6380
Careaçu;MG;6298;0,310574786;0,090504922;207040000;0,201431493;0,02276447;0,218419878;0,059812528;6830
Carlos Chagas;MG;20069;0,311076785;0,102247247;179490000;0,076085215;0,013949741;0,10102231;0,136677242;6480
Carmo Da Cachoeira;MG;11836;0,283541737;0,089303819;193380000;0,224970203;0,01427876;0,213045595;0,054032127;6550
Carmo Da Mata;MG;10927;0,322778439;0,105976023;142080000;0,138644741;0,021878798;0,23901719;0,13674249;6890
Carmo De Minas;MG;13750;0,284218182;0,082036364;132690000;0,143039918;0,016761672;0,164698697;0,069218241;6820
Carmo Do Cajuru;MG;20012;0,315210873;0,094643214;174870000;0,124128091;0,022423773;0,263433754;0,196982818;7100
Carmo Do Paranaíba;MG;29735;0,330048764;0,10798722;226620000;0,058691665;0,023845829;0,347889563;0,167699445;7050
Carmo Do Rio Claro;MG;20426;0,321306178;0,096935279;207580000;0,114886485;0,031028037;0,314672897;0,101448598;7330
Carmésia;MG;2446;0,282093213;0,072771872;98250000;0,053623188;0,01376673;0,182409178;0,159464627;6500
Carmópolis De Minas;MG;17048;0,291999061;0,075492726;202400000;0,113499397;0,026366149;0,262704657;0,157984265;7000
Carneirinho;MG;9471;0,343363953;0,102417907;304710000;0,050738007;0,026121635;0,256331007;0,133599202;7410
Carrancas;MG;3948;0,308763931;0,095744681;180260000;0,256767842;0,019254204;0,216427005;0,065561784;7250
Carvalhos;MG;4556;0,333187006;0,091308165;108650000;0,11198946;0,01772973;0,216648649;0,143351351;6460
